iter	Passed	Remaining
307	1501	3373
308	1505	3365
309	1509	3359
310	1513	3352
311	1516	3344
312	1520	3336
313	1524	3330
314	1528	3323
315	1531	3315
316	1535	3308
317	1539	3302
318	1543	3295
319	1547	3287
320	1550	3280
321	1554	3273
322	1559	3268
323	1563	3262
324	1568	3257
325	1572	3251
326	1577	3245
327	1581	3239
328	1585	3233
329	1591	3230
330	1595	3224
331	1599	3218
332	1604	3213
333	1608	3207
334	1612	3201
335	1617	3195
336	1622	3191
337	1626	3186
338	1631	3180
339	1637	3178
340	1641	3172
341	1645	3166
342	1650	3161
343	1655	3156
344	1659	3151
345	1664	3145
346	1669	3141
347	1673	3135
348	1678	3131
349	1683	3126
350	1688	3121
351	1692	3115
352	1698	3112
353	1703	3107
354	1707	3102
355	1712	3097
356	1717	3093
357	1721	3087
358	1726	3082
359	1731	3077
360	1735	3071
361	1739	3065
362	1745	3063
363	1751	3061
364	1756	3056
365	1761	3052
366	1767	3048
367	1771	3042
368	1775	3036
369	1781	3032
370	1785	3027
371	1790	3022
372	1795	3018
373	1800	3014
374	1804	3007
375	1809	3002
376	1813	2997
377	1818	2991
378	1822	2985
379	1826	2980
380	1830	2974
381	1834	2967
382	1838	2961
383	1842	2956
384	1846	2949
385	1850	2943
386	1854	2937
387	1858	2932
388	1862	2925
389	1866	2919
390	1870	2912
391	1874	2907
392	1878	2901
393	1881	2894
394	1885	2887
395	1889	2882
396	1893	2876
397	1897	2869
398	1900	2863
399	1905	2857
400	1909	2851
401	1913	2846
402	1917	2840
403	1921	2834
404	1925	2828
405	1929	2823
406	1933	2817
407	1938	2812
408	1941	2805
409	1945	2799
410	1949	2793
411	1953	2788
412	1957	2782
413	1961	2776
414	1965	2770
415	1969	2765
416	1973	2758
417	1976	2752
418	1980	2746
419	1984	2741
420	1988	2734
421	1992	2728
